long_name,age,Height,Weight,club_name,Value,preferred_foot,nationality
Kevin De Bruyne,28,181,70,Manchester City,90000000,Right,Belgium
Virgil van Dijk,27,193,92,Liverpool,78000000,Right,Netherlands
Mohamed Salah Ghaly,27,175,71,Liverpool,80500000,Left,Egypt
Harry Kane,25,188,89,Tottenham Hotspur,83000000,Right,England
Alisson Ramsés Becker,26,191,91,Liverpool,58000000,Right,Brazil
David De Gea Quintana,28,192,82,Manchester United,56000000,Right,Spain
N'Golo Kanté,28,168,72,Chelsea,66000000,Right,France
Sergio Leonel Agüero del Castillo,31,173,70,Manchester City,60000000,Right,Argentina
Paul Pogba,26,191,84,Manchester United,72500000,Right,France
Ederson Santana de Moraes,25,188,86,Manchester City,54500000,Left,Brazil
Raheem Shaquille Sterling,24,170,69,Manchester City,73000000,Right,England
Christian Dannemann Eriksen,27,181,76,Tottenham Hotspur,68000000,Right,Denmark
Hugo Lloris,32,188,82,Tottenham Hotspur,36000000,Left,France
David Josué Jiménez Silva,33,173,67,Manchester City,36000000,Left,Spain
Pierre-Emerick Aubameyang,30,187,80,Arsenal,57000000,Right,Gabon
Sadio Mané,27,175,69,Liverpool,62000000,Right,Senegal
Aymeric Laporte,25,189,85,Manchester City,56500000,Left,France
Bernardo Mota Veiga de Carvalho e Silva,24,173,64,Manchester City,64000000,Left,Portugal
손흥민 孙兴慜,26,183,78,Tottenham Hotspur,60000000,Right,Korea Republic
Fernando Luiz Rosa,34,179,67,Manchester City,19500000,Right,Brazil
Jan Bert Lieve Vertonghen,32,189,86,Tottenham Hotspur,32500000,Left,Belgium
Toby Alderweireld,30,186,81,Tottenham Hotspur,41000000,Right,Belgium
Leroy Sané,23,183,75,Manchester City,61000000,Left,Germany
Roberto Firmino Barbosa de Oliveira,27,181,76,Liverpool,52000000,Right,Brazil
Alexandre Lacazette,28,175,73,Arsenal,46000000,Right,France
Rodrigo Hernández Cascante,23,191,82,Manchester City,47000000,Right,Spain
Fábio Henrique Tavares,25,188,78,Liverpool,45000000,Right,Brazil
Andrew Robertson,25,178,64,Liverpool,43500000,Left,Scotland
Kepa Arrizabalaga Revuelta,24,186,85,Chelsea,31000000,Right,Spain
João Pedro Cavaco Cancelo,25,182,74,Manchester City,36500000,Right,Portugal
Bamidele Alli,23,188,80,Tottenham Hotspur,41500000,Right,England
Bernd Leno,27,190,83,Arsenal,26000000,Right,Germany
Felipe Anderson Pereira Gomes,26,175,70,West Ham United,36500000,Right,Brazil
João Filipe Iria Santos Moutinho,32,170,61,Wolverhampton Wanderers,23500000,Right,Portugal
Sokratis Papastathopoulos,31,186,85,Arsenal,23000000,Right,Greece
Mesut Özil,30,180,76,Arsenal,29500000,Left,Germany
Georginio Wijnaldum,28,175,69,Liverpool,31000000,Right,Netherlands
César Azpilicueta Tanco,29,178,76,Chelsea,25500000,Right,Spain
İlkay Gündoğan,28,180,80,Manchester City,31000000,Right,Germany
Kyle Walker,29,183,70,Manchester City,25500000,Right,England
Riyad Mahrez,28,179,67,Manchester City,31500000,Left,Algeria
Giovani Lo Celso,23,177,68,Tottenham Hotspur,35000000,Left,Argentina
Trent Alexander-Arnold,20,180,69,Liverpool,32000000,Right,England
Anthony Martial,23,184,76,Manchester United,34500000,Right,France
Nicolas Pépé,24,183,73,Arsenal,34500000,Left,Ivory Coast
Marcus Rashford,21,186,70,Manchester United,35000000,Right,England
John Stones,25,188,70,Manchester City,30000000,Right,England
Davinson Sánchez Mina,23,187,79,Tottenham Hotspur,30500000,Right,Colombia
Lucas Digne,25,178,74,Everton,28500000,Left,France
Jordan Pickford,25,185,77,Everton,24000000,Left,England
Wilfried Zaha,26,180,66,Crystal Palace,32000000,Right,Ivory Coast
Sébastien Haller,25,190,82,West Ham United,32000000,Right,France
Lucas Rodrigues Moura da Silva,26,174,70,Tottenham Hotspur,31000000,Right,Brazil
Luiz Frello Filho Jorge,27,180,67,Chelsea,29000000,Right,Italy
Kasper Schmeichel,32,189,89,Leicester City,15500000,Right,Denmark
Rui Pedro dos Santos Patrício,31,190,84,Wolverhampton Wanderers,16500000,Left,Portugal
David Luiz Moreira Marinho,32,189,86,Arsenal,16500000,Right,Brazil
Jordan Brian Henderson,29,182,80,Liverpool,22000000,Right,England
Gylfi Þór Sigurðsson,29,186,77,Everton,25500000,Right,Iceland
Nicolás Hernán Otamendi,31,183,81,Manchester City,19000000,Right,Argentina
Gabriel Fernando de Jesus,22,175,73,Manchester City,31000000,Right,Brazil
Mateo Kovačić,25,176,78,Chelsea,29000000,Right,Croatia
Naby Deco Keïta,24,172,64,Liverpool,29000000,Right,Guinea
Lucas Torreira Di Pascua,23,168,64,Arsenal,27000000,Right,Uruguay
Rúben Diogo da Silva Neves,22,180,80,Wolverhampton Wanderers,29000000,Right,Portugal
Joël Andre Job Matip,27,194,90,Liverpool,23000000,Right,Cameroon
Antonio Rüdiger,26,190,85,Chelsea,24000000,Right,Germany
Ricardo Domingos Barbosa Pereira,25,175,70,Leicester City,23500000,Right,Portugal
Harry Maguire,26,194,100,Manchester United,23000000,Right,England
Łukasz Fabiański,34,190,83,West Ham United,9500000,Right,Poland
Juan Manuel Mata García,31,170,63,Manchester United,19500000,Left,Spain
Olivier Giroud,32,193,92,Chelsea,17500000,Left,France
Willian Borges da Silva,30,175,78,Chelsea,21000000,Right,Brazil
Alexis Alejandro Sánchez Sánchez,30,169,62,Manchester United,21000000,Right,Chile
Pedro Eliezer Rodríguez Ledesma,31,169,65,Chelsea,19500000,Right,Spain
Xherdan Shaqiri,27,169,72,Liverpool,23000000,Left,Switzerland
Jesse Lingard,26,175,62,Manchester United,24000000,Right,England
Jamie Vardy,32,179,74,Leicester City,17500000,Right,England
Tanguy Ndombèlé Alvaro,22,181,76,Tottenham Hotspur,26000000,Right,France
Victor Nilsson Lindelöf,24,187,80,Manchester United,22000000,Right,Sweden
Daniel Ceballos Fernández,22,179,70,Arsenal,24000000,Right,Spain
Pablo Fornals Malla,23,178,67,West Ham United,24500000,Right,Spain
