long_name,age,Height,Weight,nationality,club_name,value_eur,preferred_foot
Kevin De Bruyne,29,181,70,Belgium,Manchester City,87000000,Right
Virgil van Dijk,28,193,92,Netherlands,Liverpool,75500000,Right
Alisson Ramsés Becker,27,191,91,Brazil,Liverpool,62500000,Right
Sadio Mané,28,175,69,Senegal,Liverpool,78000000,Right
Mohamed Salah Ghaly,28,175,71,Egypt,Liverpool,78000000,Left
Sergio Leonel Agüero del Castillo,32,173,70,Argentina,Manchester City,53000000,Right
Ederson Santana de Moraes,26,188,86,Brazil,Manchester City,53500000,Left
Raheem Shaquille Sterling,25,170,69,England,Manchester City,72500000,Right
Harry Kane,26,188,89,England,Tottenham Hotspur,71000000,Right
N'Golo Kanté,29,168,70,France,Chelsea,51000000,Right
Trent Alexander-Arnold,21,180,69,England,Liverpool,60000000,Right
Bruno Miguel Borges Fernandes,25,179,69,Portugal,Manchester United,63000000,Right
Aymeric Laporte,26,189,85,France,Manchester City,56000000,Left
Fábio Henrique Tavares,26,188,78,Brazil,Liverpool,54500000,Right
Andrew Robertson,26,178,64,Scotland,Liverpool,53000000,Left
Bernardo Mota Veiga de Carvalho e Silva,25,173,64,Portugal,Manchester City,60000000,Left
Hugo Lloris,33,188,82,France,Tottenham Hotspur,27000000,Left
Pierre-Emerick Aubameyang,31,187,80,Gabon,Arsenal,45000000,Right
손흥민 孙兴慜,27,183,78,Korea Republic,Tottenham Hotspur,52500000,Right
Roberto Firmino Barbosa de Oliveira,28,181,76,Brazil,Liverpool,52000000,Right
Paul Pogba,27,191,84,France,Manchester United,50000000,Right
Jordan Brian Henderson,30,182,80,England,Liverpool,36500000,Right
David De Gea Quintana,29,192,82,Spain,Manchester United,31500000,Right
Jamie Vardy,33,179,74,England,Leicester City,28000000,Right
Kai Havertz,21,188,83,Germany,Chelsea,57000000,Left
Marcus Rashford,22,186,70,England,Manchester United,53000000,Right
Timo Werner,24,180,76,Germany,Chelsea,49500000,Right
Rodrigo Hernández Cascante,24,191,82,Spain,Manchester City,44000000,Right
Bernd Leno,28,190,82,Germany,Arsenal,33500000,Right
Ricardo Domingos Barbosa Pereira,26,175,70,Portugal,Leicester City,40500000,Right
Hakim Ziyech,27,181,65,Morocco,Chelsea,44000000,Left
Thiago Emiliano da Silva,35,183,79,Brazil,Chelsea,11500000,Right
Georginio Wijnaldum,29,175,69,Netherlands,Liverpool,37000000,Right
Toby Alderweireld,31,186,81,Belgium,Tottenham Hotspur,28500000,Right
Kyle Walker,30,183,70,England,Manchester City,30500000,Right
Thiago Alcântara do Nascimento,29,174,70,Spain,Liverpool,37000000,Right
Riyad Mahrez,29,179,67,Algeria,Manchester City,37500000,Left
Anthony Martial,24,184,76,France,Manchester United,41000000,Right
Onyinye Wilfred Ndidi,23,183,74,Nigeria,Leicester City,36500000,Right
Lucas Digne,26,178,74,France,Everton,31500000,Left
Fernando Luiz Rosa,35,179,67,Brazil,Manchester City,9500000,Right
Kasper Schmeichel,33,189,89,Denmark,Leicester City,17000000,Right
Rui Pedro dos Santos Patrício,32,190,84,Portugal,Wolverhampton Wanderers,19000000,Left
César Azpilicueta Tanco,30,178,77,Spain,Chelsea,24500000,Right
Raúl Alonso Jiménez Rodríguez,29,188,81,Mexico,Wolverhampton Wanderers,31000000,Right
Joe Gomez,23,188,77,England,Liverpool,31000000,Right
Steven Bergwijn,22,178,78,Netherlands,Tottenham Hotspur,34500000,Right
Aaron Wan-Bissaka,22,183,72,England,Manchester United,30500000,Right
Bamidele Alli,24,188,80,England,Tottenham Hotspur,34000000,Right
Donny van de Beek,23,184,74,Netherlands,Manchester United,33000000,Right
Gabriel Fernando de Jesus,23,175,73,Brazil,Manchester City,34500000,Right
Mateo Kovačić,26,176,80,Croatia,Chelsea,31500000,Right
João Pedro Cavaco Cancelo,26,182,74,Portugal,Manchester City,28000000,Right
Joël Andre Job Matip,28,194,90,Cameroon,Liverpool,25500000,Right
João Filipe Iria Santos Moutinho,33,170,61,Portugal,Wolverhampton Wanderers,15000000,Right
Gareth Frank Bale,30,185,82,Wales,Tottenham Hotspur,24500000,Left
İlkay Gündoğan,29,180,80,Germany,Manchester City,25000000,Right
Alexandre Lacazette,29,176,77,France,Arsenal,26000000,Right
Wilfried Zaha,27,180,66,Ivory Coast,Crystal Palace,27000000,Right
Allan Marques Loureiro,29,175,74,Brazil,Everton,25000000,Right
Lucas Rodrigues Moura da Silva,27,174,70,Brazil,Tottenham Hotspur,27000000,Right
Luiz Frello Filho Jorge,28,180,68,Italy,Chelsea,25500000,Right
Martin Dúbravka,31,190,80,Slovakia,Newcastle United,16500000,Right
Sergio Reguilón Rodríguez,23,178,68,Spain,Tottenham Hotspur,27500000,Left
Rúben Diogo da Silva Neves,23,180,80,Portugal,Wolverhampton Wanderers,29000000,Right
Giovani Lo Celso,24,177,68,Argentina,Tottenham Hotspur,29000000,Left
Alphonse Areola,27,195,94,France,Fulham,20000000,Right
Kepa Arrizabalaga Revuelta,25,186,88,Spain,Chelsea,21000000,Right
Harry Maguire,27,194,100,England,Manchester United,24000000,Right
Nicolas Pépé,25,183,73,Ivory Coast,Arsenal,28000000,Left
Nick Pope,28,200,76,England,Burnley,18500000,Right
Mesut Özil,31,180,71,Germany,Arsenal,19500000,Left
Willian Borges da Silva,31,175,77,Brazil,Arsenal,19500000,Right
Rodrigo Moreno Machado,29,182,77,Spain,Leeds United,22000000,Left
James David Rodríguez Rubio,28,180,75,Colombia,Everton,22500000,Left
Ferran Torres García,20,184,77,Spain,Manchester City,26500000,Right
Richarlison de Andrade,23,181,71,Brazil,Everton,25500000,Right
Christian Pulisic,21,177,69,United States,Chelsea,24500000,Right
Tomáš Souček,25,192,86,Czech Republic,West Ham United,21500000,Right
Youri Tielemans,23,176,72,Belgium,Leicester City,23000000,Right
James Maddison,23,175,73,England,Leicester City,23000000,Right
Naby Deco Keïta,25,172,64,Guinea,Liverpool,22500000,Right
Lucas Torreira Di Pascua,24,168,65,Uruguay,Arsenal,21000000,Right
Ben Chilwell,23,178,77,England,Chelsea,20500000,Left
Benjamin Mendy,25,185,85,France,Manchester City,19500000,Left
Jordan Pickford,26,185,77,England,Everton,16000000,Left
Jonathan Castro Otto,26,170,70,Spain,Wolverhampton Wanderers,19500000,Right
Davinson Sánchez Mina,24,187,79,Colombia,Tottenham Hotspur,20000000,Right
Antonio Rüdiger,27,190,85,Germany,Chelsea,18500000,Right
Sébastien Haller,26,190,82,France,West Ham United,22000000,Right
Luke Shaw,24,181,75,England,Manchester United,19000000,Left
Frederico Rodrigues Santos,27,169,62,Brazil,Manchester United,19000000,Left
Łukasz Fabiański,35,190,83,Poland,West Ham United,4800000,Right
Marcos Alonso Mendoza,29,188,85,Spain,Chelsea,14500000,Left
Xherdan Shaqiri,28,169,72,Switzerland,Liverpool,18000000,Left
Matt Doherty,28,182,87,Republic of Ireland,Tottenham Hotspur,15000000,Right
Felipe Anderson Pereira Gomes,27,175,70,Brazil,West Ham United,18500000,Right
Mason Mount,21,178,70,England,Chelsea,21000000,Right
Dean Henderson,23,190,85,England,Manchester United,16000000,Right
Tanguy Ndombèlé Alvaro,23,181,76,France,Tottenham Hotspur,20500000,Right
Allan Saint-Maximin,23,173,67,France,Newcastle United,20500000,Right
Diogo José Teixeira da Silva,23,178,73,Portugal,Liverpool,20500000,Right
Héctor Bellerín Moruno,25,178,74,Spain,Arsenal,17500000,Right
Daniel Ceballos Fernández,23,179,68,Spain,Arsenal,19500000,Right
Oleksandr Zinchenko,23,175,64,Ukraine,Manchester City,17500000,Left
Çağlar Söyüncü,24,185,82,Turkey,Leicester City,18000000,Right
Pierre-Emile Højbjerg,24,185,84,Denmark,Tottenham Hotspur,17500000,Right
Victor Nilsson Lindelöf,25,187,80,Sweden,Manchester United,17000000,Right
John Stones,26,188,70,England,Manchester City,16500000,Right
Kurt Happy Zouma,25,190,95,France,Chelsea,16500000,Right
Jack Grealish,24,180,68,England,Aston Villa,19000000,Right
Mathew Ryan,28,184,82,Australia,Brighton & Hove Albion,13000000,Right
Granit Xhaka,27,185,80,Switzerland,Arsenal,15000000,Left
James Tarkowski,27,185,81,England,Burnley,15000000,Right
Ben Davies,27,182,76,Wales,Tottenham Hotspur,14500000,Left
James Philip Milner,34,175,70,England,Liverpool,7000000,Right
Jonny Evans,32,188,77,Northern Ireland,Leicester City,9500000,Right
Erik Lamela,28,184,80,Argentina,Tottenham Hotspur,15000000,Left
Sergio Germán Romero,33,192,86,Argentina,Manchester United,8000000,Right
Branislav Ivanović,36,185,91,Serbia,West Bromwich Albion,3000000,Right
David Luiz Moreira Marinho,33,189,86,Brazil,Arsenal,7000000,Right
Vicente Guaita Panadero,33,190,80,Spain,Crystal Palace,8000000,Right
Nemanja Matić,31,194,83,Serbia,Manchester United,11000000,Left
Daniel William John Ings,27,178,73,England,Southampton,16000000,Right
Serge Aurier,27,174,74,Ivory Coast,Tottenham Hotspur,13000000,Right
Willy Boly,29,195,97,France,Wolverhampton Wanderers,12500000,Right
Philip Foden,20,171,69,England,Manchester City,19500000,Left
Sander Berge,22,195,96,Norway,Sheffield United,16000000,Right
Declan Rice,21,185,80,England,West Ham United,16500000,Right
Adama Traoré Diarra,24,178,72,Spain,Wolverhampton Wanderers,17500000,Right
Harvey Lewis Barnes,22,180,66,England,Leicester City,17500000,Right
Andreas Christensen,24,187,82,Denmark,Chelsea,15000000,Right
Dominic Calvert-Lewin,23,187,71,England,Everton,17000000,Right
Harry Winks,24,176,74,England,Tottenham Hotspur,15500000,Right
Scott McTominay,23,193,88,Scotland,Manchester United,15500000,Right
James Ward-Prowse,25,173,66,England,Southampton,16000000,Right
Nathan Aké,25,180,75,Netherlands,Manchester City,14500000,Left
Pablo Fornals Malla,24,178,67,Spain,West Ham United,16500000,Right
Emerson Palmieri dos Santos,25,176,79,Italy,Chelsea,14000000,Left
Eric Bertrand Bailly,26,186,77,Ivory Coast,Manchester United,14000000,Right
Conor Coady,27,186,80,England,Wolverhampton Wanderers,13000000,Right
Tiemoué Bakayoko,25,189,85,France,Chelsea,14000000,Right
Alex Oxlade-Chamberlain,26,175,70,England,Liverpool,14500000,Right
