,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,-additional
Rk,Player,GA,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,GA,SoTA,Saves,Save%,W,D,L,CS,CS%,Pos,-9999
201,Darren Randolph,3,2020-2021,33,ie IRL,West Ham,eng Premier League,3,270,3.0,3,0,24,0,0,0,0,0,0,0,3,9,6,66.7,2,0,1,1,33.3,GK,6385ebfb
202,Daniel Bentley,3,2022-2023,29,eng ENG,Wolves,eng Premier League,2,180,2.0,2,0,16,0,0,0,0,0,0,0,3,13,10,76.9,0,1,1,0,0.0,GK,68db6358
203,Willy Caballero,3,2020-2021,38,ar ARG,Chelsea,eng Premier League,1,90,1.0,1,0,6,0,0,0,0,0,0,0,3,3,0,0.0,0,1,0,0,0.0,GK,a179d516
204,Jed Steer,3,2021-2022,28,eng ENG,Aston Villa,eng Premier League,1,90,1.0,1,0,18,0,0,0,0,0,0,0,3,4,1,25.0,0,0,1,0,0.0,GK,a8a3d139
205,Fraser Forster,3,2018-2019,30,eng ENG,Southampton,eng Premier League,1,90,1.0,1,0,4,0,0,0,0,0,0,0,3,6,3,50.0,0,0,1,0,0.0,GK,c3e39f12
206,John Ruddy,3,2021-2022,34,eng ENG,Wolves,eng Premier League,2,135,1.5,1,1,36,0,0,0,0,0,0,0,3,7,4,57.1,0,1,0,0,0.0,GK,da8b19e2
207,Robin Olsen,3,2021-2022,31,se SWE,Aston Villa,eng Premier League,1,90,1.0,1,0,17,0,0,0,0,0,0,0,3,5,2,40.0,0,0,1,0,0.0,GK,e7ee38c3
208,Mark Travers,3,2019-2020,20,ie IRL,Bournemouth,eng Premier League,1,90,1.0,1,0,1,0,0,0,0,0,0,0,3,5,2,40.0,0,0,1,0,0.0,GK,fe558029
209,Marek Rodák,2,2022-2023,25,sk SVK,Fulham,eng Premier League,2,180,2.0,2,0,36,0,0,0,0,0,0,0,2,4,2,50.0,0,2,0,1,50.0,GK,17acc2ed
210,Jason Steele,2,2021-2022,30,eng ENG,Brighton,eng Premier League,1,90,1.0,1,0,32,0,0,0,0,0,0,0,2,5,3,60.0,0,0,1,0,0.0,GK,28300a16
211,Kepa Arrizabalaga,2,2021-2022,26,es ESP,Chelsea,eng Premier League,4,360,4.0,4,0,34,0,0,0,0,0,0,0,2,13,11,84.6,2,1,1,2,50.0,GK,28d596a0
212,Thomas Strakosha,2,2023-2024,28,al ALB,Brentford,eng Premier League,2,135,1.5,1,1,32,0,0,0,0,0,0,0,2,8,6,75.0,0,0,1,0,0.0,GK,339fe0e8
213,Kiko Casilla,2,2020-2021,33,es ESP,Leeds United,eng Premier League,3,270,3.0,3,0,31,0,0,0,0,0,0,0,2,10,8,80.0,2,0,1,1,33.3,GK,58bc7d18
214,Caoimhín Kelleher,2,2021-2022,22,ie IRL,Liverpool,eng Premier League,2,180,2.0,2,0,34,0,0,0,0,0,0,0,2,8,6,75.0,1,1,0,1,50.0,GK,62d7ef38
215,Paulo Gazzaniga,2,2018-2019,26,ar ARG,Tottenham,eng Premier League,3,270,3.0,3,0,32,0,0,0,0,0,0,0,2,13,11,84.6,2,0,1,1,33.3,GK,63d17038
216,Jack Butland,2,2020-2021,27,eng ENG,Crystal Palace,eng Premier League,1,90,1.0,1,0,30,0,0,0,0,0,0,0,2,5,3,60.0,1,0,0,0,0.0,GK,cc70a1d5
217,David Button,2,2020-2021,31,eng ENG,West Brom,eng Premier League,1,90,1.0,1,0,37,0,0,0,0,0,0,0,2,6,4,66.7,1,0,0,0,0.0,GK,e608ed4c
218,Ralf Fährmann,1,2019-2020,30,de GER,Norwich City,eng Premier League,1,21,0.2,1,0,19,0,0,0,0,0,0,0,1,2,1,100.0,,,1,,,GK,1e43fad8
219,Remi Matthews,1,2023-2024,29,eng ENG,Crystal Palace,eng Premier League,1,4,0.0,0,1,28,0,0,0,0,0,0,0,1,1,0,0.0,0,0,0,0,,GK,27f4f772
220,Alphonse Areola,1,2021-2022,28,fr FRA,West Ham,eng Premier League,1,90,1.0,1,0,37,0,0,0,0,0,0,0,1,3,2,66.7,0,0,1,0,0.0,GK,2f965a72
221,Martin Dúbravka,1,2022-2023,33,sk SVK,2 Teams,eng Premier League,2,157,1.7,1,1,26,0,0,0,0,0,0,0,1,9,9,88.9,0,1,0,0,0.0,GK,3a949a25
222,Zack Steffen,1,2020-2021,25,us USA,Manchester City,eng Premier League,1,90,1.0,1,0,34,0,0,0,0,0,0,0,1,2,1,50.0,1,0,0,0,0.0,GK,42130443
223,Caoimhín Kelleher,1,2020-2021,21,ie IRL,Liverpool,eng Premier League,2,180,2.0,2,0,13,0,0,0,0,0,0,0,1,7,6,85.7,1,0,1,1,50.0,GK,62d7ef38
224,Joel Coleman,1,2018-2019,22,eng ENG,Huddersfield,eng Premier League,1,90,1.0,1,0,7,0,0,0,0,0,0,0,1,3,2,66.7,0,1,0,0,0.0,GK,b73e459a
225,Stefan Ortega,1,2022-2023,29,de GER,Manchester City,eng Premier League,3,270,3.0,3,0,35,0,0,0,0,0,0,0,1,15,14,93.3,2,1,0,2,66.7,GK,c1242d4e
