,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Total,Total,Total,,,,,,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,-additional
Rk,Player,Cmp,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Pos,-9999
1,Rodri,3365,2023-2024,27,es ESP,Manchester City,eng Premier League,34,2931,32.6,34,0,1,8,9,17,8,0,0,0,3365,3656,92.0,49,378,61,0,376,57256,15766,1676,1774,94.5,1273,1360,93.6,340,401,84.8,MF,6434f10d
2,Jorginho,2785,2018-2019,26,it ITA,Chelsea,eng Premier League,37,3156,35.1,37,0,1,2,0,2,1,1,1,0,2785,3133,88.9,29,336,44,1,323,40201,13193,1611,1729,93.2,898,1005,89.4,153,204,75.0,MF,45db685d
3,Pascal Groß,2774,2023-2024,32,de GER,Brighton,eng Premier League,36,3114,34.6,34,2,0,4,10,14,3,1,1,0,2774,3223,86.1,103,242,73,27,302,42905,13360,1583,1674,94.6,914,1035,88.3,193,359,53.8,MFDF,8aec0537
4,Rodri,2723,2022-2023,26,es ESP,Manchester City,eng Premier League,36,2911,32.3,34,2,1,2,6,8,2,0,0,0,2723,2987,91.2,32,265,33,3,260,49949,11936,1103,1187,92.9,1278,1369,93.4,300,354,84.7,MF,6434f10d
5,Rodri,2640,2021-2022,25,es ESP,Manchester City,eng Premier League,33,2884,32.0,33,0,2,7,2,9,7,0,0,0,2640,2887,91.4,29,284,37,3,285,48233,11300,1107,1185,93.4,1207,1271,95.0,294,358,82.1,MF,6434f10d
6,Rodri,2545,2020-2021,24,es ESP,Manchester City,eng Premier League,34,2748,30.5,31,3,4,2,2,4,1,1,1,0,2545,2801,90.9,29,217,20,2,227,44312,10473,1138,1213,93.8,1055,1149,91.8,273,321,85.0,MF,6434f10d
7,Pierre Højbjerg,2455,2020-2021,24,dk DEN,Tottenham,eng Premier League,38,3420,38.0,38,0,0,2,4,6,2,0,0,0,2455,2783,88.2,16,208,17,1,218,40417,12152,1161,1263,91.9,1033,1129,91.5,173,257,67.3,MF,8b04d6c1
8,Rodri,2400,2019-2020,23,es ESP,Manchester City,eng Premier League,35,2486,27.6,29,6,1,3,2,5,3,0,0,0,2400,2590,92.7,34,223,19,2,232,42557,10967,1051,1097,95.8,1032,1086,95.0,263,312,84.3,MF,6434f10d
9,Pierre Højbjerg,2287,2021-2022,25,dk DEN,Tottenham,eng Premier League,36,3196,35.5,36,0,1,2,2,4,2,0,0,0,2287,2570,89.0,25,229,36,3,242,37884,10800,1115,1199,93.0,877,961,91.3,194,269,72.1,MF,8b04d6c1
