,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,-additional
Rk,Player,Sh,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Pos,-9999
401,Mykhailo Mudryk,35,2023-2024,22,ua UKR,Chelsea,eng Premier League,31,1576,17.5,18,13,4,5,2,7,5,0,0,0,35,0.14,0.42,12,34.3,17.2,0,FW,049a888d
402,Matěj Vydra,35,2020-2021,28,cz CZE,Burnley,eng Premier League,28,1371,15.2,15,13,5,3,2,5,3,0,0,0,35,0.09,0.33,9,25.7,13.7,0,FW,0d4ceb32
403,Álvaro Morata,35,2018-2019,25,es ESP,Chelsea,eng Premier League,16,941,10.5,11,5,1,5,0,5,5,0,0,0,35,0.14,0.31,16,45.7,13.7,0,FW,129af0db
404,Diogo Jota,35,2022-2023,25,pt POR,Liverpool,eng Premier League,22,1131,12.6,12,10,0,7,4,11,7,0,0,0,35,0.20,0.64,11,31.4,11.7,0,FW,178ae8f8
405,Trézéguet,35,2020-2021,25,eg EGY,Aston Villa,eng Premier League,21,1166,13.0,12,9,2,2,1,3,2,0,0,0,35,0.06,0.17,12,34.3,14.2,0,FW,3ae14ed1
406,Saïd Benrahma,35,2020-2021,24,dz ALG,West Ham,eng Premier League,30,1391,15.5,14,16,2,1,6,7,1,0,0,0,35,0.03,0.08,12,34.3,21.2,1,FWMF,5a04fd92
407,Hakim Ziyech,35,2020-2021,27,ma MAR,Chelsea,eng Premier League,23,1172,13.0,15,8,5,2,3,5,2,0,0,0,35,0.06,0.17,12,34.3,23.1,1,MFFW,6622454d
408,Alex Iwobi,35,2018-2019,22,ng NGA,Arsenal,eng Premier League,35,1970,21.9,22,13,1,3,6,9,3,0,0,0,35,0.09,0.21,14,40.0,15.8,0,FWMF,6ca5ec4b
409,Daniel Podence,35,2021-2022,25,pt POR,Wolves,eng Premier League,26,1484,16.5,15,11,3,2,3,5,2,0,0,0,35,0.06,0.13,15,42.9,22.0,1,FWMF,7fcc71d8
410,Andre Gray,35,2018-2019,27,jm JAM,Watford,eng Premier League,29,1366,15.2,13,16,1,7,2,9,7,0,0,0,35,0.20,0.44,16,45.7,14.8,0,FW,c24dba2a
411,Jordan Ayew,35,2021-2022,29,gh GHA,Crystal Palace,eng Premier League,31,2019,22.4,23,8,6,3,3,6,3,0,0,0,35,0.09,0.38,8,22.9,16.8,1,FW,da052c14
412,Taiwo Awoniyi,35,2022-2023,24,ng NGA,Nott'ham Forest,eng Premier League,27,1404,15.6,17,10,2,10,1,11,10,0,0,0,35,0.29,0.67,15,42.9,11.8,0,FW,e5478b87
413,Ruben Loftus-Cheek,35,2020-2021,24,eng ENG,2 Teams,eng Premier League,31,1969,21.9,22,9,2,1,0,1,1,0,0,0,35,0.03,0.13,8,22.9,16.6,0,FW,e97fd090
414,Bobby De Cordova-Reid,34,2020-2021,27,jm JAM,Fulham,eng Premier League,33,2372,26.4,28,5,2,5,2,7,5,0,0,0,34,0.15,0.63,8,23.5,16.9,1,MFFW,0f7533cd
415,Anthony Gordon,34,2022-2023,21,eng ENG,2 Teams,eng Premier League,32,1582,17.6,16,16,1,4,0,4,4,0,0,0,34,0.12,0.22,18,52.9,16.0,1,FWMF,2bd83368
416,Bernardo Silva,34,2023-2024,28,pt POR,Manchester City,eng Premier League,33,2578,28.6,29,4,2,6,9,15,6,0,0,0,34,0.18,0.40,15,44.1,15.9,0,MFFW,3eb22ec9
417,Edinson Cavani,34,2020-2021,33,uy URU,Manchester Utd,eng Premier League,26,1375,15.3,13,13,0,10,3,13,10,0,0,0,34,0.29,0.67,15,44.1,11.4,0,FW,527f063d
