Unnamed: 0,Player,Unnamed: 2,Season,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Playing Time,Playing Time.1,Playing Time.2,Playing Time.3,Playing Time.4,Playing Time.5,Performance,Performance.1,Performance.2,Performance.3,Performance.4,Performance.5,Performance.6,Performance.7,Performance.8,Performance.9,Performance.10,Performance.11,Performance.12,Performance.13,Performance.14,Performance.15,Unnamed: 30,-additional
13,Aaron Ramsdale,62,2019-2020,21,eng ENG,Bournemouth,eng Premier League,37,3330,37.0,37,0,0,0,1,1,0,0,0,0,62,187,124,69.5,9,7,21,5,13.5,GK,466fb2c5
10,Aaron Ramsdale,63,2020-2021,22,eng ENG,Sheffield Utd,eng Premier League,38,3420,38.0,38,0,0,0,0,0,0,0,0,0,63,206,145,70.9,7,2,29,5,13.2,GK,466fb2c5
77,Aaron Ramsdale,39,2021-2022,23,eng ENG,Arsenal,eng Premier League,34,3060,34.0,34,0,2,0,0,0,0,0,0,0,39,128,90,73.4,21,3,10,12,35.3,GK,466fb2c5
62,Aaron Ramsdale,43,2022-2023,24,eng ENG,Arsenal,eng Premier League,38,3420,38.0,38,0,0,0,0,0,0,0,0,0,43,136,94,70.6,26,6,6,14,36.8,GK,466fb2c5
186,Aaron Ramsdale,5,2023-2024,25,eng ENG,Arsenal,eng Premier League,6,540,6.0,6,0,31,0,0,0,0,0,0,0,5,14,9,64.3,5,1,0,2,33.3,GK,466fb2c5
316,Adam Davies,,2023-2024,31,wls WAL,Sheffield Utd,eng Premier League,0,,,0,0,18,,,,,,,,,,,,0,0,0,,,GK,71894777
164,Adrián,10,2019-2020,32,es ESP,Liverpool,eng Premier League,11,875,9.7,9,2,27,0,0,0,0,0,0,0,10,27,17,63.0,9,0,0,2,22.2,GK,f76e6b4e
169,Adrián,9,2020-2021,33,es ESP,Liverpool,eng Premier League,3,270,3.0,3,0,27,0,0,0,0,0,0,0,9,18,9,50.0,1,1,1,1,33.3,GK,f76e6b4e
60,Alex McCarthy,44,2018-2019,28,eng ENG,Southampton,eng Premier League,25,2250,25.0,25,0,8,0,0,0,0,0,0,0,44,119,78,64.7,5,8,12,4,16.0,GK,36c2ca73
86,Alex McCarthy,35,2019-2020,29,eng ENG,Southampton,eng Premier League,28,2520,28.0,28,0,8,0,0,0,0,0,0,0,35,113,78,69.9,13,5,10,7,25.0,GK,36c2ca73
23,Alex McCarthy,57,2020-2021,30,eng ENG,Southampton,eng Premier League,30,2700,30.0,30,0,7,0,0,0,0,0,0,0,57,147,91,65.3,8,7,15,7,23.3,GK,36c2ca73
113,Alex McCarthy,27,2021-2022,31,eng ENG,Southampton,eng Premier League,17,1530,17.0,17,0,1,0,0,0,0,0,0,0,27,71,44,62.0,3,7,7,5,29.4,GK,36c2ca73
147,Alex McCarthy,17,2022-2023,32,eng ENG,Southampton,eng Premier League,6,540,6.0,6,0,21,0,0,0,0,0,0,0,17,30,14,46.7,0,1,5,0,0.0,GK,36c2ca73
372,Alex Smithies,,2018-2019,28,eng ENG,Cardiff City,eng Premier League,0,,,0,0,26,,,,,,,,,,,,0,0,0,,,GK,bb91617c
373,Alex Smithies,,2022-2023,32,eng ENG,Leicester City,eng Premier League,0,,,0,0,3,,,,,,,,,,,,0,0,0,,,GK,bb91617c
278,Alfie Whiteman,,2018-2019,19,eng ENG,Tottenham,eng Premier League,0,,,0,0,2,,,,,,,,,,,,0,0,0,,,GK,3f2587ee
279,Alfie Whiteman,,2019-2020,20,eng ENG,Tottenham,eng Premier League,0,,,0,0,4,,,,,,,,,,,,0,0,0,,,GK,3f2587ee
280,Alfie Whiteman,,2023-2024,24,eng ENG,Tottenham,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,3f2587ee
136,Alisson,22,2018-2019,25,br BRA,Liverpool,eng Premier League,38,3420,38.0,38,0,0,0,0,0,0,0,0,0,22,96,74,77.1,30,7,1,21,55.3,GK,7a2e46a8
