Player,Season,Age,Nation,Club,Matchs_played,Minutes_played,Titular_played,Goals,Assists,Position
Aaron Connolly,2019-2020,19,Ireland,Brighton,24,1258,14,3,1,FW
Aaron Connolly,2020-2021,20,Ireland,Brighton,17,791,9,2,1,FW
Aaron Connolly,2021-2022,21,Ireland,Brighton,4,156,1,0,0,FW
Aaron Lennon,2021-2022,34,England,Burnley,28,1551,17,2,0,MF
Aaron Mooy,2018-2019,27,Australia,Huddersfield,29,2330,25,3,1,MF
Aaron Mooy,2019-2020,28,Australia,Brighton,31,2085,25,2,2,MF
Aaron Ramsey,2023-2024,20,England,Burnley,14,527,5,0,0,MF
Abdoulaye Doucouré,2023-2024,30,Mali,Everton,32,2629,32,7,1,FW
Aboubakar Kamara,2018-2019,23,Mauritania,Fulham,13,693,5,3,0,FW
Aboubakar Kamara,2020-2021,25,Mauritania,Fulham,11,315,2,0,0,FW
Adam Armstrong,2021-2022,24,England,Southampton,23,1413,17,2,2,FW
Adam Armstrong,2022-2023,25,England,Southampton,30,1335,14,2,1,FW
Adam Idah,2019-2020,18,Ireland,Norwich City,12,228,1,0,0,FW
Adam Idah,2021-2022,20,Ireland,Norwich City,17,625,6,1,1,FW
Adam Lallana,2018-2019,30,England,Liverpool,13,468,5,0,0,MF
Adam Lallana,2019-2020,31,England,Liverpool,15,382,3,1,1,MF
Adam Lallana,2020-2021,32,England,Brighton,30,1596,16,1,1,MF
Adam Lallana,2022-2023,34,England,Brighton,16,722,12,2,1,MF
Adam Lallana,2023-2024,35,England,Brighton,25,850,13,0,1,MF
Adama Diakhaby,2018-2019,22,France,Huddersfield,12,552,6,0,0,FW
Adama Traoré,2018-2019,22,Spain,Wolves,29,902,8,1,1,FW
Adama Traoré,2019-2020,23,Spain,Wolves,37,2605,27,4,9,FW
Adama Traoré,2020-2021,24,Spain,Wolves,37,2649,28,2,2,FW
Adama Traoré,2021-2022,25,Spain,Wolves,20,1067,10,1,0,FW
Adama Traoré,2022-2023,26,Spain,Wolves,34,1496,12,2,1,FW
Adama Traoré,2023-2024,27,Spain,Fulham,17,377,1,2,3,FW
Ademola Lookman,2018-2019,20,Nigeria,Everton,21,618,3,0,2,FW
Ademola Lookman,2020-2021,22,Nigeria,Fulham,34,2747,31,4,4,FW
Ademola Lookman,2021-2022,23,Nigeria,Leicester City,26,1453,16,6,0,FW
Albian Ajeti,2019-2020,22,Switzerland,West Ham,9,139,0,0,0,FW
Alejandro Garnacho,2022-2023,18,Argentina,Manchester Utd,19,569,5,3,2,FW
Alejandro Garnacho,2023-2024,19,Argentina,Manchester Utd,36,2565,30,7,4,FW
Alejo Véliz,2023-2024,19,Argentina,Tottenham,8,50,0,1,0,FW
Aleksandar Mitrović,2018-2019,23,Serbia,Fulham,37,3280,37,11,3,FW
Aleksandar Mitrović,2020-2021,25,Serbia,Fulham,27,1402,13,3,3,FW
Aleksandar Mitrović,2022-2023,27,Serbia,Fulham,24,2008,23,14,1,FW
Aleksandar Mitrović,2023-2024,28,Serbia,Fulham,1,33,0,0,0,FW
Alex Iwobi,2018-2019,22,Nigeria,Arsenal,35,1970,22,3,6,FW
Alex Iwobi,2019-2020,23,Nigeria,Everton,25,1596,19,1,0,MF
Alex Iwobi,2020-2021,24,Nigeria,Everton,30,1542,17,1,2,FW
Alex Iwobi,2022-2023,26,Nigeria,Everton,38,3378,38,2,7,MF
Alex Iwobi,2023-2024,27,Nigeria,Fulham,30,2192,25,5,2,FW
Alex Oxlade-Chamberlain,2019-2020,25,England,Liverpool,30,1485,17,4,1,MF
Alex Oxlade-Chamberlain,2020-2021,26,England,Liverpool,13,253,2,1,1,MF
Alex Oxlade-Chamberlain,2021-2022,27,England,Liverpool,17,785,9,2,1,MF
Alex Oxlade-Chamberlain,2022-2023,28,England,Liverpool,9,335,4,1,0,FW
Alex Pritchard,2018-2019,25,England,Huddersfield,30,2081,26,2,0,MF
Alexander Isak,2022-2023,22,Sweden,Newcastle Utd,22,1522,17,10,1,FW
Alexander Isak,2023-2024,23,Sweden,Newcastle Utd,30,2255,27,21,2,FW
Alexander Sørloth,2018-2019,22,Norway,Crystal Palace,12,185,0,0,0,FW
Alexandre Lacazette,2018-2019,27,France,Arsenal,35,2502,27,13,8,FW
Alexandre Lacazette,2019-2020,28,France,Arsenal,30,1874,22,10,4,FW
Alexandre Lacazette,2020-2021,29,France,Arsenal,31,1923,22,13,2,FW
Alexandre Lacazette,2021-2022,30,France,Arsenal,30,1782,20,4,7,FW
Alexis Mac Allister,2019-2020,20,Argentina,Brighton,9,352,4,0,0,MF
Alexis Mac Allister,2020-2021,21,Argentina,Brighton,21,1115,13,1,1,MF
Alexis Mac Allister,2021-2022,22,Argentina,Brighton,33,2123,22,5,2,MF
Alexis Sánchez,2018-2019,29,Chile,Manchester Utd,20,880,9,1,3,FW
Alireza Jahanbakhsh,2018-2019,24,Iran,Brighton,19,1020,12,0,0,FW
Alireza Jahanbakhsh,2019-2020,25,Iran,Brighton,10,311,3,2,0,FW
Alireza Jahanbakhsh,2020-2021,26,Iran,Brighton,21,528,6,0,1,FW
Allan Saint-Maximin,2019-2020,22,France,Newcastle Utd,26,1863,23,3,4,MF
Allan Saint-Maximin,2020-2021,23,France,Newcastle Utd,25,1560,19,3,4,FW
Allan Saint-Maximin,2021-2022,24,France,Newcastle Utd,35,2804,31,5,5,FW
Allan Saint-Maximin,2022-2023,25,France,Newcastle Utd,25,1120,12,1,5,FW
Amad Diallo,2020-2021,18,Ivory Coast,Manchester Utd,3,166,2,0,1,FW
Amad Diallo,2023-2024,21,Ivory Coast,Manchester Utd,9,390,3,1,1,FW
Anass Zaroury,2023-2024,22,Morocco,Burnley,6,152,1,0,0,FW
Andi Zeqiri,2020-2021,21,Switzerland,Brighton,9,171,0,0,0,FW
Andre Gray,2018-2019,27,Jamaica,Watford,29,1366,13,7,2,FW
