Player,Season,Age,Nation,Club,Matchs_played,Minutes_played,Titular_played,Goals,Assists,Position,Value,Preferred Foot,Height,Weight
Adam Lallana,2022-2023,34.0,England,Brighton,16,722,12,2,1,MF,2600000.0,Right,178.0,73.0
Adama Traoré,2022-2023,26.0,Spain,Wolves,34,1496,12,2,1,FW,20500000.0,Right,178.0,86.0
Alejandro Garnacho,2022-2023,18.0,Argentina,Manchester Utd,19,569,5,3,2,FW,1500000.0,Right,180.0,70.0
Alex Oxlade-Chamberlain,2022-2023,28.0,England,Liverpool,9,335,4,1,0,FW,10500000.0,Right,175.0,70.0
Allan Saint-Maximin,2022-2023,25.0,France,Newcastle Utd,25,1120,12,1,5,FW,32500000.0,Right,173.0,67.0
Bernardo Silva,2022-2023,27.0,Portugal,Manchester City,34,2205,24,4,5,MF,97500000.0,Left,173.0,64.0
Bruno Fernandes,2022-2023,27.0,Portugal,Manchester Utd,37,3316,37,8,8,MF,78500000.0,Right,179.0,69.0
Bryan Gil,2022-2023,21.0,Spain,Tottenham,4,148,2,0,1,MF,23500000.0,Left,175.0,65.0
Cristiano Ronaldo,2022-2023,37.0,Portugal,Manchester Utd,10,525,4,1,0,FW,41000000.0,Right,187.0,83.0
Daniel Podence,2022-2023,26.0,Portugal,Wolves,32,1771,20,6,0,FW,16500000.0,Right,165.0,58.0
Dejan Kulusevski,2022-2023,22.0,Sweden,Tottenham,30,2067,23,2,7,MF,41500000.0,Left,186.0,75.0
Diogo Jota,2022-2023,25.0,Portugal,Liverpool,22,1131,12,7,4,FW,76000000.0,Right,178.0,73.0
Emi Buendía,2022-2023,25.0,Argentina,Aston Villa,38,2412,27,5,2,MF,26500000.0,Right,172.0,65.0
Emile Smith Rowe,2022-2023,22.0,England,Arsenal,12,172,0,0,2,MF,43000000.0,Right,182.0,72.0
Evan Ferguson,2022-2023,17.0,Ireland,Brighton,19,950,10,6,2,FW,700000.0,Right,177.0,74.0
Fabio Carvalho,2022-2023,19.0,Portugal,Liverpool,13,347,4,2,0,MF,7000000.0,Right,175.0,66.0
Fabio Vieira,2022-2023,22.0,Portugal,Arsenal,22,514,3,1,2,MF,23500000.0,Left,176.0,61.0
Gabriel Jesus,2022-2023,25.0,Brazil,Arsenal,26,2064,24,11,6,FW,48500000.0,Right,175.0,73.0
Gabriel Martinelli,2022-2023,21.0,Brazil,Arsenal,36,2789,34,15,5,FW,31500000.0,Right,178.0,75.0
Gonçalo Guedes,2022-2023,25.0,Portugal,Wolves,13,707,8,1,1,FW,41000000.0,Right,179.0,68.0
Hwang Hee-chan,2022-2023,26.0,South Korea,Wolves,27,1130,12,3,1,FW,12500000.0,Right,177.0,77.0
Jack Grealish,2022-2023,26.0,England,Manchester City,28,2055,23,5,7,FW,49500000.0,Right,180.0,81.0
Jay Stansfield,2022-2023,19.0,England,Fulham,3,87,1,0,0,FW,1300000.0,Right,182.0,68.0
Joelinton,2022-2023,25.0,Brazil,Newcastle Utd,32,2661,30,6,1,MF,7500000.0,Right,186.0,81.0
Keane Lewis-Potter,2022-2023,21.0,England,Brentford,10,321,3,0,1,FW,4200000.0,Right,170.0,67.0
Pablo Fornals,2022-2023,26.0,Spain,West Ham,32,1503,17,3,1,FW,21500000.0,Right,178.0,67.0
Pedro Neto,2022-2023,22.0,Portugal,Wolves,18,964,13,0,0,FW,28500000.0,Left,172.0,62.0
Raúl Jiménez,2022-2023,31.0,Mexico,Wolves,15,846,8,0,1,FW,25500000.0,Right,188.0,81.0
Richarlison,2022-2023,25.0,Brazil,Tottenham,27,1010,12,1,3,MF,34500000.0,Right,181.0,71.0
Roberto Firmino,2022-2023,30.0,Brazil,Liverpool,25,1213,13,11,4,FW,35500000.0,Right,181.0,76.0
Sam Greenwood,2022-2023,20.0,England,Leeds United,18,424,3,1,2,MF,38000000.0,Left,181.0,70.0
Sam Surridge,2022-2023,24.0,England,Nott'ham Forest,20,323,1,1,0,FW,3000000.0,Right,191.0,77.0
Saïd Benrahma,2022-2023,26.0,Algeria,West Ham,35,2069,22,6,3,FW,15500000.0,Right,172.0,67.0
Sergi Canós,2022-2023,25.0,Spain,Brentford,5,77,0,0,0,FW,2900000.0,Right,175.0,66.0
Willian,2022-2023,33.0,Brazil,Fulham,27,2126,25,5,5,FW,11500000.0,Right,175.0,77.0
Alisson,2022-2023,29.0,Brazil,Liverpool,37,3330,37,0,1,GK,79000000.0,Right,191.0,91.0
David Raya,2022-2023,26.0,Spain,Brentford,38,3420,38,0,0,GK,7000000.0,Right,183.0,75.0
Dean Henderson,2022-2023,25.0,England,Nott'ham Forest,18,1620,18,0,0,GK,18000000.0,Right,188.0,85.0
