Name,Age,Nationality,Club,Value,Preferred Foot,Height,Weight
Bruno Fernandes,27,Portugal,Manchester United,€78.5M,Right,179cm,69kg
K. De Bruyne,31,Belgium,Manchester City,€107.5M,Right,181cm,70kg
João Cancelo,28,Portugal,Manchester City,€82.5M,Right,182cm,74kg
I. Perišić,33,Croatia,Tottenham Hotspur,€26.5M,Right,186cm,80kg
T. Alexander-Arnold,23,England,Liverpool,€100.5M,Right,180cm,69kg
M. Salah,30,Egypt,Liverpool,€115.5M,Left,175cm,71kg
Thiago,31,Spain,Liverpool,€55.5M,Right,174cm,70kg
R. James,22,England,Chelsea,€57M,Right,178cm,87kg
L. Digne,28,France,Aston Villa,€27.5M,Left,178cm,74kg
K. Walker,32,England,Manchester City,€37.5M,Right,183cm,83kg
İ. Gündoğan,31,Germany,Manchester City,€44M,Right,180cm,80kg
H. Kane,28,England,Tottenham Hotspur,€105.5M,Right,188cm,89kg
J. Henderson,32,England,Liverpool,€28.5M,Right,182cm,80kg
Fred,29,Brazil,Manchester United,€20.5M,Left,169cm,62kg
Bernardo Silva,27,Portugal,Manchester City,€97.5M,Left,173cm,64kg
Diogo Jota,25,Portugal,Liverpool,€76M,Right,178cm,73kg
K. Trippier,31,England,Newcastle United,€30.5M,Right,173cm,71kg
Rúben Neves,25,Portugal,Wolverhampton Wanderers,€47.5M,Right,180cm,80kg
Fabinho,28,Brazil,Liverpool,€77M,Right,188cm,78kg
G. Lo Celso,26,Argentina,Tottenham Hotspur,€31.5M,Left,177cm,68kg
Roberto Firmino,30,Brazil,Liverpool,€35.5M,Right,181cm,76kg
Cristiano Ronaldo,37,Portugal,Manchester United,€41M,Right,187cm,83kg
N. Kanté,31,France,Chelsea,€72M,Right,168cm,70kg
A. Robertson,28,Scotland,Liverpool,€72M,Left,178cm,64kg
T. Partey,29,Ghana,Arsenal,€36M,Right,185cm,77kg
M. Kovačić,28,Croatia,Chelsea,€42M,Right,176cm,80kg
H. Son,29,Korea Republic,Tottenham Hotspur,€101M,Right,183cm,78kg
Marcos Alonso,31,Spain,Chelsea,€12.5M,Left,188cm,85kg
E. Buendía,25,Argentina,Aston Villa,€26.5M,Right,172cm,65kg
Y. Bissouma,25,Mali,Tottenham Hotspur,€34.5M,Right,182cm,80kg
Rodri,26,Spain,Manchester City,€88.5M,Right,191cm,82kg
O. Zinchenko,25,Ukraine,Arsenal,€21.5M,Left,175cm,64kg
Cucurella,23,Spain,Chelsea,€34.5M,Left,172cm,66kg
M. Cornet,25,Côte d'Ivoire,West Ham United,€18.5M,Left,179cm,69kg
Jorginho,30,Italy,Chelsea,€51.5M,Right,180cm,68kg
J. McGinn,27,Scotland,Aston Villa,€20M,Left,178cm,68kg
J. Milner,36,England,Liverpool,€4.4M,Right,175cm,70kg
J. Álvarez,22,Argentina,Manchester City,€32M,Right,173cm,71kg
E. Haaland,21,Norway,Manchester City,€148M,Left,195cm,94kg
L. Martínez,24,Argentina,Manchester United,€35M,Left,178cm,77kg
M. Mount,23,England,Chelsea,€57.5M,Right,180cm,74kg
D. van de Beek,25,Netherlands,Manchester United,€25.5M,Right,184cm,74kg
V. van Dijk,30,Netherlands,Liverpool,€98M,Right,193cm,92kg
João Moutinho,35,Portugal,Wolverhampton Wanderers,€10.5M,Right,170cm,61kg
Bruno Guimarães,24,Brazil,Newcastle United,€38.5M,Right,182cm,74kg
Richarlison,25,Brazil,Tottenham Hotspur,€34.5M,Right,181cm,71kg
M. Ødegaard,23,Norway,Arsenal,€63.5M,Left,178cm,68kg
A. Doucouré,29,Mali,Everton,€17M,Right,184cm,76kg
P. Højbjerg,26,Denmark,Tottenham Hotspur,€40.5M,Right,187cm,84kg
22 Fernandinho,36,Brazil,Manchester City,€5M,Right,179cm,67kg
R. Bentancur,25,Uruguay,Tottenham Hotspur,€24.5M,Right,187cm,73kg
B. Chilwell,25,England,Chelsea,€37M,Left,180cm,77kg
A. Oxlade-Chamberlain,28,England,Liverpool,€10.5M,Right,175cm,70kg
M. Antonio,32,Jamaica,West Ham United,€14M,Right,178cm,82kg
R. Sterling,27,England,Chelsea,€72.5M,Right,170cm,69kg
B. Saka,20,England,Arsenal,€60.5M,Left,178cm,65kg
K. Phillips,26,England,Manchester City,€32M,Right,178cm,72kg
E. Mwepu,24,Zambia,Brighton & Hove Albion,€12M,Right,184cm,76kg
Andreas Pereira,26,Brazil,Fulham,€10M,Right,177cm,70kg
K. Tierney,25,Scotland,Arsenal,€33M,Left,178cm,70kg
S. McTominay,25,Scotland,Manchester United,€25M,Right,193cm,88kg
M. Sanson,27,France,Aston Villa,€8.5M,Right,180cm,73kg
D. Kulusevski,22,Sweden,Tottenham Hotspur,€41.5M,Left,186cm,75kg
Lucas Moura,29,Brazil,Tottenham Hotspur,€20.5M,Right,174cm,70kg
N. Keïta,27,Guinea,Liverpool,€29.5M,Right,172cm,64kg
P. Foden,22,England,Manchester City,€109.5M,Left,171cm,69kg
L. Shaw,26,England,Manchester United,€22.5M,Left,181cm,75kg
Allan,31,Brazil,Everton,€15M,Right,175cm,74kg
H. Ziyech,29,Morocco,Chelsea,€35.5M,Left,181cm,65kg
Gabriel Jesus,25,Brazil,Arsenal,€48.5M,Right,175cm,73kg
T. Souček,27,Czech Republic,West Ham United,€28M,Right,192cm,86kg
Coutinho,30,Brazil,Aston Villa,€29.5M,Right,172cm,68kg
D. Rice,23,England,West Ham United,€52M,Right,185cm,80kg
R. Jiménez,31,Mexico,Wolverhampton Wanderers,€25.5M,Right,188cm,81kg
V. Coufal,29,Czech Republic,West Ham United,€18.5M,Right,175cm,76kg
M. Rashford,24,England,Manchester United,€37M,Right,186cm,70kg
A. Young,36,England,Aston Villa,€1.4M,Right,175cm,65kg
Pablo Fornals,26,Spain,West Ham United,€21.5M,Right,178cm,67kg
L. Dendoncker,27,Belgium,Wolverhampton Wanderers,€8.5M,Right,189cm,88kg
D. Núñez,23,Uruguay,Liverpool,€61.5M,Right,186cm,80kg
R. Mahrez,31,Algeria,Manchester City,€56.5M,Left,179cm,67kg
Azpilicueta,32,Spain,Chelsea,€20M,Right,178cm,77kg
22 G. Sigurðsson,31,Iceland,Everton,€14.5M,Right,186cm,77kg
J. Schlupp,29,Ghana,Crystal Palace,€7.5M,Left,178cm,72kg
D. Alli,26,England,Everton,€14M,Right,188cm,80kg
C. Gallagher,22,England,Chelsea,€35.5M,Right,182cm,77kg
T. Ndombele,25,France,Tottenham Hotspur,€23M,Right,179cm,76kg
L. Díaz,25,Colombia,Liverpool,€56M,Right,180cm,73kg
M. Cash,24,Poland,Aston Villa,€24.5M,Right,179cm,74kg
J. Lingard,29,England,Nottingham Forest,€14M,Right,175cm,60kg
17 J. Barton,33,England,Burnley,€2.5M,Right,180cm,70kg
21 David Luiz,33,Brazil,Arsenal,€8.5M,Right,189cm,86kg
J. Ramsey,21,England,Aston Villa,€12.5M,Right,180cm,72kg
Emerson,27,Italy,Chelsea,€10M,Left,176cm,79kg
A. Cresswell,32,England,West Ham United,€9.5M,Left,175cm,66kg
22 E. Cavani,34,Uruguay,Manchester United,€15M,Right,185cm,77kg
A. Westwood,32,England,Burnley,€5M,Right,175cm,73kg
Diogo Dalot,23,Portugal,Manchester United,€21M,Right,184cm,76kg
Douglas Luiz,24,Brazil,Aston Villa,€19.5M,Right,175cm,66kg
Gonçalo Guedes,25,Portugal,Wolverhampton Wanderers,€41M,Right,179cm,68kg
P. Groß,31,Germany,Brighton & Hove Albion,€8.5M,Right,181cm,78kg
J. Brownhill,26,England,Burnley,€7.5M,Right,180cm,69kg
L. Augustinsson,28,Sweden,Aston Villa,€9.5M,Left,181cm,72kg
Palhinha,26,Portugal,Fulham,€28.5M,Right,190cm,85kg
22 F. Delph,31,England,Everton,€3.9M,Left,174cm,78kg
J. Bryan,28,England,Fulham,€2.8M,Left,173cm,75kg
M. Ritchie,32,Scotland,Newcastle United,€2.4M,Left,172cm,76kg
J. Moder,23,Poland,Brighton & Hove Albion,€9M,Right,188cm,78kg
D. Ings,29,England,Aston Villa,€17.5M,Right,178cm,73kg
K. Tsimikas,26,Greece,Liverpool,€12.5M,Left,179cm,68kg
