player,club,position,age,true_value,predicted_value,residual,abs_residual,percentage_error,over_under,value_category
Adam Lallana,Brighton,MF,34.0,2599999.9999999986,2.9311015e+06,-331101.5000000014,331101.5000000014,12.734673076923137,Overestimated,Low (Q1)
Adama Traoré,Wolves,FW,26.0,20500000.000000022,8.3693375e+06,12130662.500000022,12130662.500000022,59.17396341463419,Underestimated,Medium-High (Q3)
Alejandro Garnacho,Manchester Utd,FW,18.0,1499999.9999999986,7.2872205e+06,-5787220.500000002,5787220.500000002,385.81470000000047,Overestimated,Low (Q1)
Aleksandar Mitrović,Fulham,FW,27.0,16500000.000000013,8.003278e+06,8496722.000000013,8496722.000000013,51.49528484848489,Underestimated,Medium-High (Q3)
Alex Iwobi,Everton,MF,26.0,6499999.999999999,1.0521626e+07,-4021626.000000001,4021626.000000001,61.871169230769254,Overestimated,Low (Q1)
Alex Oxlade-Chamberlain,Liverpool,FW,28.0,10499999.999999994,1.1409229e+07,-909229.0000000056,909229.0000000056,8.659323809523867,Overestimated,Medium-Low (Q2)
Allan Saint-Maximin,Newcastle Utd,FW,25.0,32499999.999999955,2.1762658e+07,10737341.999999955,10737341.999999955,33.037975384615294,Underestimated,High (Q4)
Anthony Elanga,Manchester Utd,FW,20.0,9500000.000000015,8.456622e+06,1043378.0000000149,1043378.0000000149,10.982926315789614,Underestimated,Medium-Low (Q2)
Anthony Gordon,2 Teams,FW,21.0,12499999.999999985,3.3967892e+06,9103210.749999985,9103210.749999985,72.82568599999996,Underestimated,Medium-Low (Q2)
Anthony Martial,Manchester Utd,FW,26.0,27999999.99999999,3.847954e+07,-10479540.000000011,10479540.000000011,37.426928571428626,Overestimated,Medium-High (Q3)
Armando Broja,Chelsea,FW,20.0,12499999.999999985,4.8439945e+06,7656005.499999985,7656005.499999985,61.24804399999996,Underestimated,Medium-Low (Q2)
Bernardo Silva,Manchester City,MF,27.0,97499999.99999984,1.9772766e+07,77727233.99999984,77727233.99999984,79.72023999999996,Underestimated,High (Q4)
Bertrand Traoré,Aston Villa,FW,26.0,8999999.999999996,3.593306e+06,5406693.999999996,5406693.999999996,60.07437777777776,Underestimated,Medium-Low (Q2)
Bobby De Cordova-Reid,Fulham,FW,29.0,4099998.9999999977,5.029124e+06,-929125.0000000023,929125.0000000023,22.66159089307102,Overestimated,Low (Q1)
Brennan Johnson,Nott'ham Forest,FW,21.0,12499999.999999985,6.1171555e+06,6382844.499999985,6382844.499999985,51.06275599999994,Underestimated,Medium-Low (Q2)
Bruno Fernandes,Manchester Utd,MF,27.0,78499999.99999994,4.2729096e+07,35770903.99999994,35770903.99999994,45.568030573248365,Underestimated,High (Q4)
Bryan Gil,Tottenham,MF,21.0,23500000.00000002,3.5296372e+06,19970362.75000002,19970362.75000002,84.98026702127662,Underestimated,Medium-High (Q3)
Bryan Mbeumo,Brentford,FW,22.0,8999999.999999996,6.959505e+06,2040494.9999999963,2040494.9999999963,22.672166666666634,Underestimated,Medium-Low (Q2)
Bukayo Saka,Arsenal,FW,20.0,60500000.000000104,4.6542664e+07,13957336.000000104,13957336.000000104,23.069976859504266,Underestimated,High (Q4)
Callum Wilson,Newcastle Utd,FW,30.0,16999999.999999974,2.7793536e+07,-10793536.000000026,10793536.000000026,63.491388235294366,Overestimated,Medium-High (Q3)
