player,club,position,age,true_value,predicted_value,residual,percentage_error,error_type
Granit Xhaka,Arsenal,MF,29.0,15000000.00000001,3.7836896e+07,-22836895.999999993,152.24597333333318,Overestimation
Anthony Martial,Manchester Utd,FW,26.0,27999999.99999999,4.4526076e+07,-16526076.000000011,59.02170000000007,Overestimation
Rodrigo Bentancur,Tottenham,MF,25.0,24500000.000000007,3.7984044e+07,-13484043.999999993,55.03691428571423,Overestimation
Nathan Aké,Manchester City,DF,27.0,15000000.00000001,2.5857454e+07,-10857453.99999999,72.38302666666657,Overestimation
Toti Gomes,Wolves,DF,23.0,2599999.9999999986,1.3450359e+07,-10850359.000000002,417.32150000000024,Overestimation
Alex Iwobi,Everton,MF,26.0,6499999.999999999,1.6758762e+07,-10258762.0,157.82710769230772,Overestimation
Alex Iwobi,Everton,MF,26.0,6499999.999999999,1.6758762e+07,-10258762.0,157.82710769230772,Overestimation
Gabriel Martinelli,Arsenal,FW,21.0,31500000.00000002,4.1631068e+07,-10131067.999999981,32.162120634920555,Overestimation
Ben Davies,Tottenham,DF,29.0,14499999.99999999,2.3204526e+07,-8704526.00000001,60.031213793103554,Overestimation
Roberto Firmino,Liverpool,FW,30.0,35499999.999999955,4.4036384e+07,-8536384.000000045,24.04615211267621,Overestimation
Roberto Firmino,Liverpool,FW,30.0,35499999.999999955,4.4036384e+07,-8536384.000000045,24.04615211267621,Overestimation
Solly March,Brighton,FW,28.0,5500000.000000001,1.3617658e+07,-8117657.999999999,147.59378181818178,Overestimation
Solly March,Brighton,FW,28.0,5500000.000000001,1.3617658e+07,-8117657.999999999,147.59378181818178,Overestimation
Jacob Murphy,Newcastle Utd,FW,27.0,3200000.000000008,1.0807956e+07,-7607955.999999993,237.74862499999915,Overestimation
Kaoru Mitoma,Brighton,FW,25.0,5500000.000000001,1.298363e+07,-7483629.999999999,136.06599999999995,Overestimation
Kaoru Mitoma,Brighton,FW,25.0,5500000.000000001,1.298363e+07,-7483629.999999999,136.06599999999995,Overestimation
Kenny Tete,Fulham,DF,26.0,4799999.999999999,1.1285495e+07,-6485495.000000001,135.1144791666667,Overestimation
Joelinton,Newcastle Utd,MF,25.0,7500000.000000002,1.3817734e+07,-6317733.999999998,84.23645333333329,Overestimation
Joelinton,Newcastle Utd,MF,25.0,7500000.000000002,1.3817734e+07,-6317733.999999998,84.23645333333329,Overestimation
Yoane Wissa,Brentford,FW,25.0,6499999.999999999,1.2325687e+07,-5825687.000000001,89.62595384615388,Overestimation
