player,club,position,age,true_value,predicted_value,residual,percentage_error,error_magnitude
Erling Haaland,Manchester City,FW,22.0,148000000.00000018,7.071479e+07,77285208.00000018,52.219735135135195,Absolute
Rúben Dias,Manchester City,DF,25.0,107500000.00000043,3.7803496e+07,69696504.00000043,64.83395720930247,Absolute
Phil Foden,Manchester City,FW,22.0,109500000.00000016,4.083777e+07,68662232.00000016,62.705234703196396,Absolute
Virgil van Dijk,Liverpool,DF,31.0,97999999.99999994,3.581369e+07,62186311.99999994,63.45542040816324,Absolute
Bernardo Silva,Manchester City,MF,27.0,97499999.99999984,3.723992e+07,60260079.999999836,61.80521025641019,Absolute
Bernardo Silva,Manchester City,MF,27.0,97499999.99999984,3.723992e+07,60260079.999999836,61.80521025641019,Absolute
João Cancelo,Manchester City,DF,28.0,82499999.99999975,2.4730412e+07,57769587.99999975,70.02374303030294,Absolute
Harry Kane,Tottenham,FW,29.0,105500000.00000015,4.960256e+07,55897440.00000015,52.983355450237035,Absolute
N'Golo Kanté,Chelsea,MF,31.0,72000000.00000012,1.6515314e+07,55484686.00000012,77.06206388888893,Absolute
Son Heung-min,Tottenham,MF,30.0,100999999.99999991,4.608781e+07,54912191.99999991,54.36850693069303,Absolute
Son Heung-min,Tottenham,MF,30.0,100999999.99999991,4.608781e+07,54912191.99999991,54.36850693069303,Absolute
Mohamed Salah,Liverpool,FW,30.0,115500000.0,6.2692628e+07,52807372.0,45.7206683982684,Absolute
Rodri,Manchester City,MF,26.0,88499999.99999978,3.630219e+07,52197807.99999978,58.98057401129934,Absolute
Fabinho,Liverpool,MF,28.0,76999999.99999994,2.9564236e+07,47435763.99999994,61.60488831168828,Absolute
Reece James,Chelsea,DF,22.0,57000000.000000045,1.0197015e+07,46802985.000000045,82.1105,Absolute
Reece James,Chelsea,DF,22.0,57000000.000000045,1.0197015e+07,46802985.000000045,82.1105,Absolute
Diogo Jota,Liverpool,FW,25.0,76000000.00000007,2.9459424e+07,46540576.000000075,61.237600000000036,Absolute
Andrew Robertson,Liverpool,DF,28.0,72000000.00000012,2.6086962e+07,45913038.00000012,63.768108333333394,Absolute
Kevin De Bruyne,Manchester City,MF,31.0,107500000.00000043,6.217628e+07,45323720.00000043,42.161600000000234,Absolute
Aymeric Laporte,Manchester City,DF,28.0,64500000.000000104,1.947201e+07,45027990.000000104,69.81083720930238,Absolute
