mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.06264694531758626,0.017876707970319056,0.0026706854502360025,2.9232187735424422e-05,0.9,0.5,0.1,200,6,0.1,0.1,0.7,"{'subsample': 0.9, 'reg_lambda': 0.5, 'reg_alpha': 0.1, 'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.7}",-1.0526579476568538,-0.44201884500412336,-0.4511990508045734,-0.6486252811551835,0.2857188195236383,6
0.18430527051289877,0.05217201210927471,0.005641539891560872,0.003084224652264597,0.8,5.0,1.0,150,9,0.001,0.3,0.7,"{'subsample': 0.8, 'reg_lambda': 5, 'reg_alpha': 1, 'n_estimators': 150, 'max_depth': 9, 'learning_rate': 0.001, 'gamma': 0.3, 'colsample_bytree': 0.7}",-2.1691472562034213,-1.1623975617170925,-0.8596252150714071,-1.3970566776639737,0.5597682077285013,20
0.3150676091512044,0.06262398946912333,0.005044301350911458,0.0008222901909158722,0.8,0.5,0.01,200,9,0.005,0.2,0.7,"{'subsample': 0.8, 'reg_lambda': 0.5, 'reg_alpha': 0.01, 'n_estimators': 200, 'max_depth': 9, 'learning_rate': 0.005, 'gamma': 0.2, 'colsample_bytree': 0.7}",-1.458539999593529,-0.6531559663601065,-0.5833336654178308,-0.8983432104571554,0.3971432322191793,12
0.3428029219309489,0.05340814689093019,0.005717039108276367,0.0025252653324580212,0.9,1.0,0.1,150,9,0.005,0.0,1.0,"{'subsample': 0.9, 'reg_lambda': 1, 'reg_alpha': 0.1, 'n_estimators': 150, 'max_depth': 9, 'learning_rate': 0.005, 'gamma': 0, 'colsample_bytree': 1.0}",-1.7018856674889673,-0.7161727564234631,-0.6302087566586568,-1.0160890601903623,0.4861996793160869,15
0.060708840688069664,0.002634068102264259,0.002252658208211263,0.00015056459946526983,0.9,0.1,0.01,100,5,0.01,0.4,0.8,"{'subsample': 0.9, 'reg_lambda': 0.1, 'reg_alpha': 0.01, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.01, 'gamma': 0.4, 'colsample_bytree': 0.8}",-1.4882173031400527,-0.6992819276604392,-0.6213606165883162,-0.9362866157962694,0.3915682532276551,13
0.14779003461201987,0.023730240029178812,0.0025040308634440103,8.359789360926873e-05,1.0,0.1,0.0,200,9,0.05,0.1,0.7,"{'subsample': 1.0, 'reg_lambda': 0.1, 'reg_alpha': 0, 'n_estimators': 200, 'max_depth': 9, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.7}",-1.1882528786673412,-0.4549121459884398,-0.44652501291929536,-0.6965633458583588,0.3476938629558254,11
0.11609339714050293,0.015443196005224277,0.003951629002888997,0.0021930943621963207,0.9,5.0,0.0,150,7,0.001,0.1,0.7,"{'subsample': 0.9, 'reg_lambda': 5, 'reg_alpha': 0, 'n_estimators': 150, 'max_depth': 7, 'learning_rate': 0.001, 'gamma': 0.1, 'colsample_bytree': 0.7}",-2.1586513862882204,-1.156638139627153,-0.8583031268532616,-1.3911975509228782,0.5561714286227641,19
0.06722100575764973,0.009812312100138611,0.004520336786905925,0.003584056033992611,0.8,5.0,0.0,200,4,0.05,0.1,0.8,"{'subsample': 0.8, 'reg_lambda': 5, 'reg_alpha': 0, 'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.8}",-1.0048915773486042,-0.4626917570098864,-0.47043572239910597,-0.6460063522525322,0.2537898682561107,5
0.052851597468058266,0.002171818114564823,0.0035501321156819663,0.0017977231195493617,0.7,1.0,0.0,200,4,0.001,0.3,0.6,"{'subsample': 0.7, 'reg_lambda': 1, 'reg_alpha': 0, 'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.001, 'gamma': 0.3, 'colsample_bytree': 0.6}",-2.0755690729889986,-1.129229981518748,-0.8539880825723263,-1.3529290456933578,0.5231927513012717,18
0.08569598197937012,0.013727350758485227,0.002227147420247396,9.14795100367236e-05,0.8,1.0,0.1,150,7,0.05,0.2,0.7,"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 0.1, 'n_estimators': 150, 'max_depth': 7, 'learning_rate': 0.05, 'gamma': 0.2, 'colsample_bytree': 0.7}",-1.021881996139242,-0.44017355809308223,-0.43334510247507513,-0.6318002189024665,0.2758435566895154,3
